citation_type,court_code,CountryId,CourtId,CourtName,country,country1_spa,country2_spa,country3_spa_official,country_adj_spa,country_adj_spa2,court_eng1,court_eng2,court_loc1,court_loc2,court_spa1,court_spa2
1,1,1,1,Supreme Court,Afghanistan,Afganistán,,República Islámica de Afganistán,afgana,,Supreme Court ,,Stera Mahkama,,Corte Suprema de Justicia,Suprema Corte de Justicia
1,9,1,2,Other or unspecified court,Afghanistan,Afganistán,,República Islámica de Afganistán,afgana,,Other or unspecified court,,,,,
1,1,2,3,Constitutional Court,Albania,Albania,,República de Albania,albanesa,,Constitutional Court,,Gjykata e Lartë,,Tribunal Constitucional,
1,9,2,4,Other or unspecified court,Albania,Albania,,República de Albania,albanesa,,Other or unspecified court,,,,Tribunal Supremo,
1,1,3,5,Supreme court,Algeria,Argelia,,República Democrática Popular de Argelia,argelina,,Supreme court,,Cour Suprême,,Corte Suprema,
1,9,3,6,Other or unspecified court,Algeria,Argelia,,República Democrática Popular de Argelia,argelina,,Other or unspecified court,,,,,
1,1,4,7,High Court,American Samoa,Samoa Americana,,Territorio de la Samoa Americana,samoana,,High Court,,,,Alta Corte,
1,9,4,8,Other or unspecified court,American Samoa,Samoa Americana,,Territorio de la Samoa Americana,samoana,,Other or unspecified court,,,,,
1,3,5,9,Supreme Court of Justice of Andorra,Andorra,Andorra,,Principado de Andorra,andorrana,,Supreme Court of Justice of Andorra ,,Tribunal Superior de Justicia d'Andorra,,Suprema Corte de Justicia de Andorra,
1,9,5,10,Other or unspecified court,Andorra,Andorra,,Principado de Andorra,andorrana,,Other or unspecified court,,,,,
1,1,6,11,Constitutional Court,Angola,Angola,,República de Angola,angoleña,angolana,Constitutional Court,,Tribunal Constitucional,,Corte Constitucional,Tribunal Constitucional
1,2,6,12,Supreme Court,Angola,Angola,,República de Angola,angoleña,angolana,Supreme Court ,,Tribunal Supremo,,Tribunal Supremo ,Suprema Corte
1,9,6,13,Other court,Angola,Angola,,República de Angola,angoleña,angolana,Other or unspecified court,,,,,
1,1,7,14,Supreme Court,Antigua and Barbuda,Antigua y Barbuda,,Antigua y Barbuda,antiguana,,Supreme Court,,,,Corte Suprema de Justicia,Suprema Corte de Justicia
1,2,7,15,High Court,Antigua and Barbuda,Antigua y Barbuda,,Antigua y Barbuda,antiguana,,High Court,,,,Corte Supreior,
1,3,7,16,Appeals Court,Antigua and Barbuda,Antigua y Barbuda,,Antigua y Barbuda,antiguana,,Appeals Court,,,,Corte de Apelaciones,Corte de Apelación
1,9,7,18,Other court,Antigua and Barbuda,Antigua y Barbuda,,Antigua y Barbuda,antiguana,,Other or unspecified court,,,,,
1,1,8,19,Supreme Court of Justice,Argentina,Argentina,,República Argentina,argentina,,Supreme Court of Justice,,Corte Suprema de Justicia,,Corte Suprema de Justicia de la Nación,
1,9,8,20,Other or unspecified court,Argentina,Argentina,,República Argentina,argentina,,Other or unspecified court,,,,,
1,1,9,21,Constitutional Court,Armenia,Armenia,,República de Armenia,armenia,,Constitutional Court,,,,Tribunal Constitucional,Corte Constitucional
1,2,9,22,Appeals Court (Court of Cassation),Armenia,Armenia,,República de Armenia,armenia,,Appeals Court ,Court of Cassation,,,Tribunal de Casación,Corte de Casación
1,9,9,23,Other court,Armenia,Armenia,,República de Armenia,armenia,,Other or unspecified court,,,,,
1,1,10,24,Joint High Court of Justice,Aruba,Aruba,,Aruba,arubense,,Joint High Court of Justice,,,,Tribunal Conjunto de Apelaciones de las Antillas Neerlandesas y Aruba,
1,2,10,25,Common Court of Justice,Aruba,Aruba,,Aruba,arubense,,Common Court of Justice,,,,Tribunlal Común de Justicia,Corte de Justicia Común
1,9,10,27,Other court,Aruba,Aruba,,Aruba,arubense,,Other or unspecified court,,,,,
1,1,11,28,High Court of Australia,Australia,Australia,,Mancomunidad de Australia,australiana,,High Court of Australia,,,,Corte Suprema,
1,9,11,29,Other or unspecified court,Australia,Australia,,Mancomunidad de Australia,australiana,,Other or unspecified court,,,,,
1,1,12,30,Constitutional Court,Austria,Austria,,República de Austria,austríaca,,Constitutional Court ,,Verfassungsgerichtshof,,Tribunal Constitucional,
1,2,12,31,Supreme Judicial Court,Austria,Austria,,República de Austria,austríaca,,Supreme Judicial Court  ,,Oberster Gerichtshof,,Tribunal Supremo,
1,9,12,32,Other and unspecified court,Austria,Austria,,República de Austria,austríaca,,Other or unspecified court,,,,,
1,1,13,33,Constitutional Court,Azerbaijan,Azerbaiyán,,República de Azebaiyán,azerbaiyana,,Constitutional Court,,,,Tribunal Constitucional,
